Species,Aquatic,Herbivorous,Nocturnal,Scansorial,Fossorial,Large,Terrestrial,Archetype
Ablepharus bivittatus,0,0,0.001,0.979,0,0.02,0,Scansorial
Ablepharus budaki,0,0,0,0,0,0.109,0.891,Terrestrial
Ablepharus chernovi,0,0,0,0.98,0.001,0,0.019,Scansorial
Ablepharus deserti,0,0,0,0,0,0.165,0.835,Terrestrial
Ablepharus grayanus,0,0,0,0.012,0,0.022,0.966,Terrestrial
Ablepharus kitaibelii,0,0,0,0,0,0.161,0.839,Terrestrial
Ablepharus pannonicus,0,0,0,0,0,0.146,0.854,Terrestrial
Ablepharus rueppellii,0,0,0,0,0,0.132,0.868,Terrestrial
Abronia graminea,0.003,0,0.012,0.815,0,0.171,0,Scansorial
Abronia vasconcelosii,0.003,0,0.014,0.787,0,0.196,0,Scansorial
Acanthocercus adramitanus,0.005,0,0.024,0.634,0,0.337,0,Scansorial
Acanthocercus annectens,0.005,0,0.023,0.644,0,0.328,0,Scansorial
Acanthocercus atricollis,0.005,0,0.026,0.607,0,0.362,0,Scansorial
Acanthocercus cyanogaster,0.005,0,0.025,0.614,0,0.356,0,Scansorial
Acanthocercus phillipsii,0.004,0,0.017,0.738,0,0.241,0,Scansorial
Acanthocercus yemensis,0,0.732,0,0,0,0.268,0,Herbivorous
Acanthodactylus aegyptius,0,0,0,0,0,0.151,0.849,Terrestrial
Acanthodactylus aureus,0,0,0,0,0,0.227,0.773,Terrestrial
Acanthodactylus beershebensis,0,0,0,0,0,0.287,0.713,Terrestrial
Acanthodactylus blanci,0,0,0,0,0,0.3,0.7,Terrestrial
Acanthodactylus blanfordii,0,0,0,0,0,0.242,0.758,Terrestrial
Acanthodactylus boskianus,0,0,0,0,0,0.3,0.7,Terrestrial
Acanthodactylus cantoris,0,0,0,0,0,0.298,0.702,Terrestrial
Acanthodactylus dumerilii,0,0,0,0,0,0.217,0.783,Terrestrial
Acanthodactylus erythrurus,0,0,0,0,0,0.271,0.729,Terrestrial
Acanthodactylus felicis,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus gongrorhynchatus,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus grandis,0,0,0,0,0,0.321,0.679,Terrestrial
Acanthodactylus haasi,0.001,0,0.004,0.939,0,0.056,0,Scansorial
Acanthodactylus longipes,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus maculatus,0,0,0,0,0,0.196,0.804,Terrestrial
Acanthodactylus masirae,0,0,0,0,0,0.151,0.849,Terrestrial
Acanthodactylus micropholis,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus opheodurus,0,0,0,0,0,0.196,0.804,Terrestrial
Acanthodactylus pardalis,0,0,0,0,0,0.248,0.752,Terrestrial
Acanthodactylus robustus,0,0,0,0,0,0.25,0.75,Terrestrial
Acanthodactylus schmidti,0,0.531,0,0,0,0.241,0.228,Herbivorous
Acanthodactylus schreiberi,0,0,0,0,0,0.296,0.704,Terrestrial
Acanthodactylus scutellatus,0,0,0,0,0,0.273,0.727,Terrestrial
Acanthodactylus senegalensis,0,0,0,0,0,0.186,0.814,Terrestrial
Acanthodactylus tilburyi,0,0,0,0,0,0.207,0.793,Terrestrial
Acanthodactylus tristrami,0,0,0,0,0,0.3,0.7,Terrestrial
Acanthosaura armata,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Acanthosaura capra,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Acanthosaura coronata,0.003,0,0.013,0.808,0,0.177,0,Scansorial
Acanthosaura crucigera,0.005,0,0.024,0.639,0,0.332,0,Scansorial
Acanthosaura lepidogaster,0.004,0,0.017,0.743,0,0.237,0,Scansorial
Acanthosaura nataliae,0,0.691,0,0,0,0.309,0,Herbivorous
Acanthosaura phuketensis,0.004,0,0.019,0.708,0,0.268,0,Scansorial
Acontias gariepensis,0,0,0.012,0,0.947,0.041,0,Fossorial
Acontias kgalagadi,0,0,0,0,0.915,0.086,0,Fossorial
Acontias meleagris,0,0,0,0,0.848,0.152,0,Fossorial
Acontias plumbeus,0,0,0,0,0.772,0.228,0,Fossorial
Acratosaura mentalis,0,0,0,0,0,0.18,0.82,Terrestrial
Adolfus africanus,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Adolfus alleni,0,0,0,0,0,0.225,0.775,Terrestrial
Adolfus jacksoni,0.002,0,0.01,0.845,0,0.143,0,Scansorial
Adolfus masavaensis,0,0,0,0,0,0.167,0.833,Terrestrial
Aeluroscalabotes felinus,0,0,0.892,0,0,0.108,0,Nocturnal
Afroedura africana,0.001,0,0.003,0.956,0,0.041,0,Scansorial
Afroedura halli,0,0,0.921,0,0.015,0,0.063,Nocturnal
Afroedura karroica,0,0,0.919,0,0.016,0,0.065,Nocturnal
Afroedura pondolia,0,0,0.001,0.981,0,0.017,0,Scansorial
Afrogecko porphyreus,0,0,0.851,0,0.029,0,0.12,Nocturnal
Agama aculeata,0,0.512,0,0,0,0.309,0.179,Herbivorous
Agama agama,0,0.705,0,0,0,0.295,0,Herbivorous
Agama anchietae,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Agama armata,0,0.53,0,0,0,0.245,0.225,Herbivorous
Agama atra,0,0.724,0,0,0,0.276,0,Herbivorous
Agama boueti,0,0.518,0,0,0,0.288,0.194,Herbivorous
Agama caudospinosa,0.005,0,0.025,0.618,0,0.351,0,Scansorial
Agama etoshae,0,0,0,0,0,0.302,0.698,Terrestrial
Agama hispida,0,0,0,0,0,0.422,0.578,Terrestrial
Agama impalearis,0.004,0,0.021,0.683,0,0.292,0,Scansorial
Agama kirkii,0.004,0,0.018,0.731,0,0.247,0,Scansorial
Agama knobeli,0.005,0,0.022,0.669,0,0.305,0,Scansorial
Agama lionotus,0,0.713,0,0,0,0.286,0,Herbivorous
Agama montana,0.003,0,0.013,0.794,0,0.19,0,Scansorial
Agama mossambica,0.004,0,0.018,0.718,0,0.26,0,Scansorial
Agama mwanzae,0,0.687,0,0,0,0.313,0,Herbivorous
Agama paragama,0.004,0,0.017,0.745,0,0.234,0,Scansorial
Agama persimilis,0,0,0,0,0,0.229,0.771,Terrestrial
Agama planiceps,0,0.709,0,0,0,0.291,0,Herbivorous
Agama rueppelli,0,0,0,0,0,0.331,0.669,Terrestrial
Agama spinosa,0,0.752,0,0,0,0.248,0,Herbivorous
Agama sylvana,0.003,0,0.016,0.759,0,0.222,0,Scansorial
Agamura persica,0,0,0.441,0,0,0.105,0.454,Terrestrial
Ailuronyx seychellensis,0,0.566,0.346,0,0,0.088,0,Herbivorous
Ailuronyx tachyscopaeus,0,0.617,0.376,0,0,0.007,0,Herbivorous
Ailuronyx trachygaster,0,0.502,0.307,0,0,0.191,0,Herbivorous
Alexandresaurus camacan,0,0,0,0,0,0.227,0.773,Terrestrial
Algyroides fitzingeri,0,0,0,0.946,0.003,0,0.051,Scansorial
Algyroides marchi,0,0,0,0,0,0.157,0.843,Terrestrial
Algyroides moreoticus,0,0,0,0.982,0.001,0,0.017,Scansorial
Algyroides nigropunctatus,0.001,0,0.005,0.919,0,0.075,0,Scansorial
Alopoglossus angulatus,0,0,0,0,0,0.204,0.796,Terrestrial
Alopoglossus atriventris,0,0,0,0,0,0.161,0.839,Terrestrial
Alopoglossus buckleyi,0,0,0,0,0,0.196,0.804,Terrestrial
Alopoglossus copii,0,0,0,0,0,0.265,0.735,Terrestrial
Alopoglossus festae,0,0,0,0,0,0.205,0.794,Terrestrial
Alopoglossus viridiceps,0,0,0,0,0,0.204,0.796,Terrestrial
Alsophylax laevis,0,0,0.761,0,0.046,0,0.193,Nocturnal
Alsophylax loricatus,0,0,0.341,0,0,0,0.659,Terrestrial
Alsophylax pipiens,0,0,0.791,0,0.04,0,0.169,Nocturnal
Alsophylax przewalskii,0,0,0.744,0,0.049,0,0.207,Nocturnal
Alsophylax szczerbaki,0,0,0.718,0,0.054,0,0.227,Nocturnal
Alsophylax tadjikiensis,0,0,0.328,0,0,0,0.672,Terrestrial
Altiphylax baturensis,0,0,0.894,0,0.02,0,0.086,Nocturnal
Altiphylax levitoni,0,0,0.814,0,0.036,0,0.15,Nocturnal
Altiphylax stoliczkai,0,0,0.874,0,0.024,0,0.102,Nocturnal
Altiphylax tokobajevi,0,0,0.447,0,0,0.001,0.552,Terrestrial
Amalosia jacovae,0,0,0.901,0,0.019,0,0.08,Nocturnal
Amalosia lesueurii,0,0,0.986,0,0.003,0,0.011,Nocturnal
Amalosia obscura,0,0,0.904,0,0.018,0,0.078,Nocturnal
Amalosia rhombifer,0,0,0.986,0,0.003,0,0.011,Nocturnal
Amapasaurus tetradactylus,0,0,0,0.005,0,0,0.995,Terrestrial
Amblyrhynchus cristatus,0.815,0,0,0,0,0.185,0,Aquatic
Ameiva ameiva,0,0,0,0,0,0.53,0.47,Large
Ameiva atrigularis,0,0,0,0,0,0.503,0.497,Large
Ameiva bifrontata,0,0,0,0,0,0.4,0.599,Terrestrial
Ameiva pantherina,0,0,0,0,0,0.445,0.555,Terrestrial
Ameiva parecis,0,0,0,0,0,0.308,0.692,Terrestrial
Ameiva praesignis,0,0,0,0,0,0.566,0.433,Large
Ameiva provitaae,0,0,0,0,0,0.414,0.586,Terrestrial
Ameiva reticulata,0,0,0,0,0,0.439,0.561,Terrestrial
Ameivula jalapensis,0,0,0,0,0,0.194,0.806,Terrestrial
Ameivula mumbuca,0,0,0,0,0,0.198,0.802,Terrestrial
Ameivula nativo,0,0,0,0,0,0.24,0.76,Terrestrial
Ameivula nigrigula,0,0,0,0,0,0.308,0.692,Terrestrial
Ameivula ocellifera,0.004,0,0.018,0.729,0,0.249,0,Scansorial
Ameivula pyrrhogularis,0,0,0,0,0,0.306,0.694,Terrestrial
Amphibolurus centralis,0.003,0,0.015,0.775,0,0.207,0,Scansorial
Amphibolurus muricatus,0.004,0,0.019,0.706,0,0.271,0,Scansorial
Amphibolurus norrisi,0,0.772,0,0,0,0.228,0,Herbivorous
Amphiglossus astrolabi,0.953,0,0,0,0,0.047,0,Aquatic
Amphisbaena alba,0,0,0,0,0.626,0.374,0,Fossorial
Amphisbaena anomala,0,0,0,0,0.844,0.156,0,Fossorial
Amphisbaena bassleri,0,0,0,0,0.719,0.281,0,Fossorial
Amphisbaena camura,0,0,0,0,0.73,0.27,0,Fossorial
Amphisbaena dubia,0,0,0,0,0.897,0.103,0,Fossorial
Amphisbaena fuliginosa,0,0,0,0,0.747,0.253,0,Fossorial
Amphisbaena gonavensis,0,0,0.023,0,0.95,0.027,0,Fossorial
Amphisbaena hastata,0,0,0,0.125,0.875,0,0,Fossorial
Amphisbaena hyporissor,0,0,0,0,0.867,0.133,0,Fossorial
Amphisbaena ibijara,0,0,0,0,0.928,0.073,0,Fossorial
Amphisbaena manni,0,0,0.022,0,0.95,0.029,0,Fossorial
Amphisbaena medemi,0,0,0.037,0,0.963,0,0,Fossorial
Amphisbaena pericensis,0,0,0,0,0,0.072,0.928,Terrestrial
Amphisbaena polystegum,0,0,0,0,0.707,0.293,0,Fossorial
Amphisbaena slevini,0,0,0,0,1,0,0,Fossorial
Amphisbaena varia,0,0,0,0,0.746,0.254,0,Fossorial
Anadia bitaeniata,0.002,0,0.01,0.84,0,0.147,0,Scansorial
Anadia bogotensis,0,0,0,0,0,0.205,0.794,Terrestrial
Anadia brevifrontalis,0.003,0,0.013,0.801,0,0.183,0,Scansorial
Anadia escalerae,0,0,0,0,0,0.215,0.785,Terrestrial
Anadia marmorata,0.003,0,0.012,0.815,0,0.171,0,Scansorial
Anadia mcdiarmidi,0,0,0,0,0,0.196,0.804,Terrestrial
Anadia ocellata,0.001,0,0.007,0.893,0,0.098,0,Scansorial
Anadia pariaensis,0.002,0,0.01,0.842,0,0.145,0,Scansorial
Anadia pulchella,0.003,0,0.015,0.778,0,0.205,0,Scansorial
Anadia rhombifera,0.001,0,0.005,0.926,0,0.069,0,Scansorial
Anadia steyeri,0,0,0,0,0,0.271,0.729,Terrestrial
Anadia vittata,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Anatololacerta anatolica,0.001,0,0.007,0.898,0,0.094,0,Scansorial
Anatololacerta budaki,0.001,0,0.004,0.935,0,0.06,0,Scansorial
Anatololacerta danfordi,0.001,0,0.007,0.898,0,0.094,0,Scansorial
Anatololacerta pelasgiana,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Anepischetosia maccoyi,0,0,0.035,0,0.953,0.013,0,Fossorial
Anguis cephallonica,0,0,0,0,0,0.414,0.586,Terrestrial
Anguis colchica,0,0,0,0,0,0.418,0.582,Terrestrial
Anguis fragilis,0,0,0,0,0.73,0.27,0,Fossorial
Anguis graeca,0,0,0,0,0,0.352,0.648,Terrestrial
Anguis veronensis,0,0,0.432,0,0,0.233,0.335,Nocturnal
Anisolepis undulatus,0.002,0,0.011,0.829,0,0.158,0,Scansorial
Anniella geronimensis,0,0,0,0.012,0.868,0.12,0,Fossorial
Anniella pulchra,0,0,0,0,0.919,0.081,0,Fossorial
Anolis acutus,0.001,0,0.004,0.942,0,0.054,0,Scansorial
Anolis aeneus,0.002,0,0.007,0.891,0,0.1,0,Scansorial
Anolis aequatorialis,0.003,0,0.015,0.771,0,0.211,0,Scansorial
Anolis agassizi,0.003,0,0.014,0.785,0,0.198,0,Scansorial
Anolis agueroi,0,0.74,0,0,0,0.26,0,Herbivorous
Anolis aliniger,0,0,0.002,0.974,0,0.024,0,Scansorial
Anolis allisoni,0.002,0,0.012,0.824,0,0.162,0,Scansorial
Anolis allogus,0.001,0,0.003,0.96,0,0.037,0,Scansorial
Anolis alutaceus,0,0,0,0.954,0.003,0,0.044,Scansorial
Anolis anchicayae,0.001,0,0.003,0.96,0,0.037,0,Scansorial
Anolis angusticeps,0,0,0,0.988,0.001,0,0.012,Scansorial
Anolis annectens,0.001,0,0.007,0.898,0,0.094,0,Scansorial
Anolis anoriensis,0.002,0,0.009,0.861,0,0.128,0,Scansorial
Anolis antonii,0,0,0,0.999,0,0,0,Scansorial
Anolis aquaticus,0.932,0,0,0,0,0,0.068,Aquatic
Anolis argenteolus,0.001,0,0.003,0.951,0,0.045,0,Scansorial
Anolis armouri,0.001,0,0.006,0.912,0,0.081,0,Scansorial
Anolis auratus,0,0,0.001,0.99,0,0.009,0,Scansorial
Anolis bahorucoensis,0,0,0,0.975,0.001,0,0.024,Scansorial
Anolis baracoae,0.005,0,0.022,0.664,0,0.309,0,Scansorial
Anolis barahonae,0,0.72,0,0,0,0.28,0,Herbivorous
Anolis barbatus,0,0.722,0,0,0,0.278,0,Herbivorous
Anolis barbouri,0,0,0,0,0,0.157,0.843,Terrestrial
Anolis barkeri,0.956,0,0,0,0,0,0.044,Aquatic
Anolis bartschi,0,0.917,0,0,0,0.083,0,Herbivorous
Anolis beckeri,0.001,0,0.004,0.937,0,0.058,0,Scansorial
Anolis bimaculatus,0.003,0,0.016,0.757,0,0.224,0,Scansorial
Anolis biporcatus,0.003,0,0.014,0.782,0,0.2,0,Scansorial
Anolis blanquillanus,0,0.901,0,0,0,0.099,0,Herbivorous
Anolis bonairensis,0.001,0,0.006,0.909,0,0.083,0,Scansorial
Anolis brasiliensis,0.001,0,0.006,0.909,0,0.083,0,Scansorial
Anolis breslini,0,0,0.002,0.974,0,0.024,0,Scansorial
Anolis brevirostris,0,0,0,0.988,0.001,0,0.012,Scansorial
Anolis brunneus,0.001,0,0.006,0.905,0,0.088,0,Scansorial
Anolis capito,0.002,0,0.012,0.824,0,0.162,0,Scansorial
Anolis carlliebi,0,0,0,0.941,0.003,0,0.056,Scansorial
Anolis carolinensis,0.001,0,0.006,0.909,0,0.083,0,Scansorial
Anolis carpenteri,0,0,0,0.941,0.003,0,0.056,Scansorial
Anolis casildae,0.003,0,0.014,0.785,0,0.198,0,Scansorial
Anolis centralis,0,0,0,0.954,0.003,0,0.044,Scansorial
Anolis chamaeleonides,0.005,0,0.023,0.655,0,0.317,0,Scansorial
Anolis chloris,0,0,0.002,0.974,0,0.024,0,Scansorial
Anolis chlorocyanus,0.002,0,0.007,0.891,0,0.1,0,Scansorial
Anolis christophei,0,0,0,0.962,0.002,0,0.036,Scansorial
Anolis chrysolepis,0.001,0,0.006,0.912,0,0.081,0,Scansorial
Anolis coelestinus,0.002,0,0.008,0.875,0,0.115,0,Scansorial
Anolis compressicauda,0,0,0,0,0,0.157,0.843,Terrestrial
Anolis conspersus,0,0.929,0,0,0,0.071,0,Herbivorous
Anolis cooki,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Anolis cristatellus,0,0.923,0,0,0,0.077,0,Herbivorous
Anolis cupreus,0,0,0.001,0.99,0,0.009,0,Scansorial
Anolis cuvieri,0,0.707,0,0,0,0.293,0,Herbivorous
Anolis cybotes,0.002,0,0.007,0.886,0,0.105,0,Scansorial
Anolis deltae,0,0,0.001,0.986,0,0.013,0,Scansorial
Anolis desechensis,0,0.991,0,0.008,0,0,0,Herbivorous
Anolis distichus,0,0,0.001,0.983,0,0.015,0,Scansorial
Anolis equestris,0,0.693,0,0,0,0.307,0,Herbivorous
Anolis etheridgei,0,0,0,0.917,0.005,0,0.078,Scansorial
Anolis eugenegrahami,0.926,0,0,0,0,0,0.074,Aquatic
Anolis evermanni,0.001,0,0.007,0.898,0,0.094,0,Scansorial
Anolis extremus,0,0.901,0,0,0,0.099,0,Herbivorous
Anolis ferreus,0.003,0,0.015,0.768,0,0.213,0,Scansorial
Anolis festae,0,0,0.002,0.969,0,0.028,0,Scansorial
Anolis frenatus,0.004,0,0.02,0.701,0,0.275,0,Scansorial
Anolis fuscoauratus,0,0,0,0.98,0.001,0,0.019,Scansorial
Anolis gaigei,0,0,0,0.985,0.001,0,0.014,Scansorial
Anolis garmani,0,0.776,0,0,0,0.224,0,Herbivorous
Anolis garridoi,0,0,0,0.91,0.005,0,0.085,Scansorial
Anolis gemmosus,0.001,0,0.004,0.946,0,0.049,0,Scansorial
Anolis ginaelisae,0.003,0,0.014,0.792,0,0.192,0,Scansorial
Anolis gingivinus,0,0.944,0,0,0,0.056,0,Herbivorous
Anolis grahami,0,0.933,0,0,0,0.066,0,Herbivorous
Anolis granuliceps,0,0,0,0,0,0.128,0.872,Terrestrial
Anolis griseus,0,0.78,0,0,0,0.22,0,Herbivorous
Anolis guamuhaya,0.004,0,0.021,0.681,0,0.294,0,Scansorial
Anolis gundlachi,0.001,0,0.006,0.905,0,0.088,0,Scansorial
Anolis hendersoni,0,0,0,0.964,0.002,0,0.034,Scansorial
Anolis heterodermus,0.002,0,0.009,0.868,0,0.122,0,Scansorial
Anolis homolechis,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Anolis humilis,0,0,0,0.967,0.002,0,0.031,Scansorial
Anolis imias,0.001,0,0.004,0.939,0,0.056,0,Scansorial
Anolis insolitus,0,0,0,0.949,0.003,0,0.048,Scansorial
Anolis koopmani,0,0,0,0.91,0.005,0,0.085,Scansorial
Anolis krugi,0,0,0,0.999,0,0,0,Scansorial
Anolis laeviventris,0.001,0,0.004,0.946,0,0.049,0,Scansorial
Anolis landestoyi,0.004,0,0.017,0.736,0,0.243,0,Scansorial
Anolis latifrons,0.004,0,0.017,0.743,0,0.237,0,Scansorial
Anolis leachii,0.003,0,0.015,0.764,0,0.217,0,Scansorial
Anolis lemurinus,0.001,0,0.007,0.893,0,0.098,0,Scansorial
Anolis limifrons,0,0,0,0.975,0.001,0,0.024,Scansorial
Anolis lineatopus,0.001,0,0.005,0.916,0,0.077,0,Scansorial
Anolis lineatus,0.002,0,0.007,0.891,0,0.1,0,Scansorial
Anolis lionotus,0.933,0,0,0,0,0,0.067,Aquatic
Anolis litoralis,0,0,0,0.954,0.003,0,0.044,Scansorial
Anolis lividus,0.001,0,0.005,0.921,0,0.073,0,Scansorial
Anolis longiceps,0.002,0,0.008,0.879,0,0.111,0,Scansorial
Anolis longitibialis,0.001,0,0.005,0.921,0,0.073,0,Scansorial
Anolis loysiana,0,0,0,0.98,0.001,0,0.019,Scansorial
Anolis luciae,0.002,0,0.01,0.852,0,0.137,0,Scansorial
Anolis lucius,0.001,0,0.005,0.93,0,0.064,0,Scansorial
Anolis luteogularis,0,0.691,0,0,0,0.309,0,Herbivorous
Anolis luteosignifer,0,0,0.001,0.99,0,0.009,0,Scansorial
Anolis lyra,0.001,0,0.006,0.902,0,0.09,0,Scansorial
Anolis macrinii,0.002,0,0.011,0.835,0,0.151,0,Scansorial
Anolis macrolepis,0.912,0,0,0,0,0,0.088,Aquatic
Anolis macrophallus,0,0,0,0,0,0.151,0.849,Terrestrial
Anolis maculiventris,0,0,0,0.967,0.002,0,0.031,Scansorial
Anolis mariarum,0,0,0,0.995,0,0.005,0,Scansorial
Anolis marmoratus,0.002,0,0.008,0.872,0,0.117,0,Scansorial
Anolis maynardi,0.001,0,0.006,0.905,0,0.088,0,Scansorial
Anolis meridionalis,0,0,0.001,0.986,0,0.013,0,Scansorial
Anolis mestrei,0,0,0.002,0.974,0,0.024,0,Scansorial
Anolis microlepidotus,0,0,0,0.993,0,0,0.007,Scansorial
Anolis monensis,0,0.989,0,0.001,0,0.01,0,Herbivorous
Anolis monticola,0,0,0,0.995,0,0.005,0,Scansorial
Anolis nebulosus,0,0,0.001,0.979,0,0.02,0,Scansorial
Anolis nelsoni,0,0.929,0,0,0,0.071,0,Herbivorous
Anolis notopholis,0,0,0,0.98,0.001,0,0.019,Scansorial
Anolis nubilus,0.002,0,0.007,0.886,0,0.105,0,Scansorial
Anolis oculatus,0.002,0,0.011,0.831,0,0.156,0,Scansorial
Anolis olssoni,0,0,0,0.988,0.001,0,0.012,Scansorial
Anolis onca,0.002,0,0.008,0.872,0,0.117,0,Scansorial
Anolis opalinus,0,0,0,0.995,0,0.005,0,Scansorial
Anolis ophiolepis,0,0,0,0,0,0.076,0.924,Terrestrial
Anolis ordinatus,0,0,0,0.988,0.001,0,0.012,Scansorial
Anolis ortonii,0,0,0.002,0.974,0,0.024,0,Scansorial
Anolis oxylophus,0.94,0,0,0,0,0,0.06,Aquatic
Anolis paternus,0,0,0,0.967,0.002,0,0.031,Scansorial
Anolis pentaprion,0.002,0,0.007,0.891,0,0.1,0,Scansorial
Anolis peraccae,0.001,0,0.003,0.96,0,0.037,0,Scansorial
Anolis petersii,0,0.772,0,0,0,0.228,0,Herbivorous
Anolis phyllorhinus,0.002,0,0.009,0.865,0,0.124,0,Scansorial
Anolis planiceps,0.001,0,0.006,0.905,0,0.088,0,Scansorial
Anolis poecilopus,0.929,0,0,0,0,0,0.072,Aquatic
Anolis pogus,0,0,0,0.072,0.868,0.06,0,Fossorial
Anolis polylepis,0,0,0.001,0.979,0,0.02,0,Scansorial
Anolis poncensis,0,0,0,0.954,0.003,0,0.044,Scansorial
Anolis porcatus,0,0.871,0,0,0,0.129,0,Herbivorous
Anolis porcus,0.005,0,0.022,0.664,0,0.309,0,Scansorial
Anolis proboscis,0,0.905,0,0,0,0.095,0,Herbivorous
Anolis pulchellus,0,0,0,0.977,0.001,0,0.022,Scansorial
Anolis pumilus,0,0,0,0.886,0.006,0,0.107,Scansorial
Anolis punctatus,0.002,0,0.01,0.849,0,0.139,0,Scansorial
Anolis purpurescens,0.003,0,0.016,0.757,0,0.224,0,Scansorial
Anolis quadriocellifer,0,0,0,0.999,0,0,0,Scansorial
Anolis quaggulus,0,0,0,0,0,0.099,0.901,Terrestrial
Anolis reconditus,0.002,0,0.012,0.824,0,0.162,0,Scansorial
Anolis richardii,0,0.772,0,0,0,0.228,0,Herbivorous
Anolis rodriguezii,0,0,0,0.967,0.002,0,0.031,Scansorial
Anolis roquet,0,0.897,0,0,0,0.103,0,Herbivorous
Anolis sabanus,0,0.954,0,0,0,0.046,0,Herbivorous
Anolis sagrei,0.001,0,0.006,0.909,0,0.083,0,Scansorial
Anolis schwartzi,0,0,0,0.962,0.002,0,0.036,Scansorial
Anolis scypheus,0.002,0,0.009,0.868,0,0.122,0,Scansorial
Anolis semilineatus,0,0,0,0.949,0.003,0,0.048,Scansorial
Anolis sericeus,0,0,0,0.988,0.001,0,0.012,Scansorial
Anolis serranoi,0.002,0,0.008,0.872,0,0.117,0,Scansorial
Anolis sheplani,0,0,0,0.902,0.006,0,0.093,Scansorial
Anolis shrevei,0,0,0,0,0,0.178,0.822,Terrestrial
Anolis smallwoodi,0,0.693,0,0,0,0.307,0,Herbivorous
Anolis smaragdinus,0.001,0,0.003,0.956,0,0.041,0,Scansorial
Anolis squamulatus,0.003,0,0.016,0.757,0,0.224,0,Scansorial
Anolis strahmi,0.001,0,0.007,0.893,0,0.098,0,Scansorial
Anolis stratulus,0,0,0.002,0.969,0,0.028,0,Scansorial
Anolis tandai,0.001,0,0.006,0.912,0,0.081,0,Scansorial
Anolis taylori,0.001,0,0.007,0.898,0,0.094,0,Scansorial
Anolis terraealtae,0.002,0,0.007,0.891,0,0.1,0,Scansorial
Anolis tolimensis,0,0,0.002,0.974,0,0.024,0,Scansorial
Anolis trachyderma,0,0,0.002,0.969,0,0.028,0,Scansorial
Anolis transversalis,0.002,0,0.011,0.831,0,0.156,0,Scansorial
Anolis tropidogaster,0.001,0,0.003,0.96,0,0.037,0,Scansorial
Anolis tropidolepis,0,0,0.001,0.979,0,0.02,0,Scansorial
Anolis tropidonotus,0.001,0,0.003,0.951,0,0.045,0,Scansorial
Anolis uniformis,0,0,0,0,0,0.084,0.916,Terrestrial
Anolis valencienni,0,0.897,0,0,0,0.103,0,Herbivorous
Anolis vanzolinii,0.003,0,0.012,0.812,0,0.173,0,Scansorial
Anolis vermiculatus,0.889,0.111,0,0,0,0,0,Aquatic
Anolis vittigerus,0.001,0,0.005,0.921,0,0.073,0,Scansorial
Anolis wattsii,0,0,0.001,0.986,0,0.013,0,Scansorial
Anolis whitemani,0.001,0,0.004,0.942,0,0.054,0,Scansorial
Anomalopus brevicollis,0,0,0,0.128,0.872,0,0,Fossorial
Anomalopus leuckartii,0,0,0,0,0.906,0.094,0,Fossorial
Anomalopus swansoni,0,0,0,0.104,0.869,0.028,0,Fossorial
Anomalopus verreauxii,0,0,0,0,0.858,0.142,0,Fossorial
Anotosaura collaris,0,0,0,0.11,0.869,0.021,0,Fossorial
Anotosaura vanzolinia,0,0,0,0,0,0.134,0.866,Terrestrial
Apathya cappadocica,0.002,0,0.009,0.859,0,0.13,0,Scansorial
Aphaniotis fusca,0.002,0,0.008,0.872,0,0.117,0,Scansorial
Aphaniotis ornata,0.001,0,0.003,0.949,0,0.047,0,Scansorial
Aprasia aurita,0,0,0.007,0,0.946,0.047,0,Fossorial
Aprasia haroldi,0,0,0.007,0,0.946,0.047,0,Fossorial
Aprasia inaurita,0,0,0,0,0.932,0.068,0,Fossorial
Aprasia parapulchella,0,0,0,0,0.93,0.07,0,Fossorial
Aprasia picturata,0,0,0,0,0.928,0.073,0,Fossorial
Aprasia pseudopulchella,0,0,0,0,0.922,0.078,0,Fossorial
Aprasia pulchella,0,0,0,0,0.935,0.065,0,Fossorial
Aprasia repens,0,0,0,0,0.939,0.061,0,Fossorial
Aprasia rostrata,0,0,0,0,0.939,0.061,0,Fossorial
Aprasia smithi,0,0,0,0,0.938,0.062,0,Fossorial
Aprasia striolata,0,0,0,0,0.929,0.071,0,Fossorial
Archaeolacerta bedriagae,0,0.893,0,0,0,0.107,0,Herbivorous
Aristelliger cochranae,0,0,0.931,0,0.013,0,0.055,Nocturnal
Aristelliger expectatus,0,0,0.886,0,0.022,0,0.092,Nocturnal
Aristelliger georgeensis,0,0,0.898,0,0,0.102,0,Nocturnal
Aristelliger hechti,0,0,0.962,0,0,0.038,0,Nocturnal
Aristelliger lar,0,0.506,0.31,0,0,0.184,0,Herbivorous
Aristelliger praesignis,0,0,0.945,0,0,0.055,0,Nocturnal
Aristelliger reyesi,0,0,0.934,0,0.013,0,0.053,Nocturnal
